Age,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobLevel_updated
54,Travel_Rarely,Corporate Functions,Masters,4,Male,3,1,Divorced,18993,No,3,2,35,2,3,12,4,2,5,L6
51,Travel_Rarely,Marketing,Diploma,3,Male,1,2,Married,15563,No,4,3,31,2,1,10,4,5,4,L4
45,Travel_Rarely,Corporate Functions,Diploma,1,Male,1,2,Single,18541,Yes,4,1,25,2,2,9,4,1,4,L6
54,Travel_Rarely,Corporate Functions,Bachelors,4,Male,3,1,Divorced,19167,No,3,2,36,2,2,12,4,2,5,L6
40,Travel_Rarely,Delivery,Masters,1,Male,3,3,Married,17860,Yes,4,4,22,0,3,8,5,5,3,L4
52,Travel_Rarely,Corporate Functions,Bachelors,3,Female,2,1,Married,16841,No,3,1,33,2,3,12,2,1,6,L6
55,Non-Travel,Sales,Masters,4,Male,2,2,Divorced,13577,Yes,3,4,34,3,3,12,4,6,1,L4
52,Travel_Rarely,Marketing,Masters,3,Male,2,3,Married,19999,No,3,1,34,5,3,12,7,4,4,L5
51,Travel_Rarely,Corporate Functions,Diploma,3,Male,3,2,Married,11613,No,3,3,33,2,2,12,4,5,4,L6
43,Travel_Rarely,HR,Doctorate,2,Male,2,1,Married,11993,Yes,5,3,23,1,2,8,3,3,4,L3
50,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,2,Married,10400,Yes,3,4,31,1,2,11,3,3,3,L6
51,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,3,Married,19973,No,3,1,33,5,3,12,6,4,4,L6
51,Travel_Rarely,Corporate Functions,Bachelors,3,Male,3,2,Married,11630,Yes,2,3,33,2,2,12,4,5,4,L6
51,Travel_Rarely,Corporate Functions,Diploma,3,Male,2,3,Married,19935,No,3,1,33,4,3,12,6,4,4,L6
55,Travel_Rarely,Corporate Functions,Masters,4,Male,3,1,Married,19158,Yes,3,3,35,2,3,12,3,2,4,L6
47,Travel_Rarely,Marketing,Doctorate,2,Male,2,1,Married,10438,Yes,4,4,28,1,2,9,3,3,3,L3
51,Travel_Rarely,HR,Doctorate,3,Male,2,3,Married,19953,No,3,1,33,4,3,12,6,4,4,L5
52,Travel_Rarely,Corporate Functions,Diploma,1,Female,1,4,Married,19845,No,2,4,33,3,3,12,5,3,4,L6
52,Travel_Rarely,Corporate Functions,Masters,2,Male,2,4,Single,10068,No,4,2,32,3,3,11,3,1,3,L6
52,Travel_Rarely,Delivery,Diploma,1,Male,3,2,Single,15074,Yes,4,2,24,2,2,8,3,1,3,L4
54,Travel_Rarely,Corporate Functions,Diploma,3,Female,2,4,Married,19575,No,3,3,35,3,2,11,2,1,4,L6
51,Travel_Frequently,Corporate Functions,Bachelors,4,Male,3,2,Divorced,19847,Yes,4,1,31,5,2,11,4,4,4,L6
48,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,1,Married,10431,Yes,3,4,28,1,2,9,3,3,3,L6
51,Travel_Rarely,Sales,Masters,3,Male,2,2,Married,10461,No,4,2,28,3,3,8,2,1,2,L3
50,Travel_Rarely,Corporate Functions,Diploma,2,Male,2,3,Single,11234,Yes,3,3,31,2,3,11,3,4,5,L6
44,Travel_Rarely,Corporate Functions,Doctorate,1,Female,2,4,Married,11421,No,5,3,25,4,3,9,3,3,3,L6
49,Travel_Rarely,Corporate Functions,Masters,3,Male,2,3,Married,10121,Yes,3,4,30,3,2,11,4,5,3,L6
51,Travel_Rarely,Delivery,Masters,1,Male,1,4,Married,18160,Yes,5,4,30,2,3,10,4,2,3,L4
49,Travel_Rarely,Marketing,Masters,1,Male,3,1,Married,17904,No,3,3,30,3,3,11,2,5,3,L4
57,Travel_Rarely,Corporate Functions,Bachelors,3,Female,3,3,Single,13807,No,3,2,33,1,1,11,3,1,3,L6
39,Travel_Frequently,Delivery,Bachelors,1,Male,3,4,Divorced,12169,No,4,4,21,4,3,7,3,4,2,L4
52,Travel_Rarely,Corporate Functions,Diploma,2,Female,2,1,Married,16853,No,3,1,34,2,3,11,3,1,5,L6
43,Travel_Rarely,Sales,Doctorate,2,Male,2,1,Single,15976,Yes,4,1,23,2,2,8,4,3,5,L4
57,Travel_Rarely,Corporate Functions,Diploma,4,Male,3,1,Married,19290,No,1,4,38,2,3,11,5,5,3,L6
51,Travel_Rarely,Product,Bachelors,3,Male,2,2,Married,10399,No,3,2,29,3,3,8,2,1,2,L3
52,Travel_Rarely,Corporate Functions,Masters,3,Female,2,1,Married,16819,No,3,1,33,2,3,11,2,1,5,L6
52,Travel_Rarely,Corporate Functions,Doctorate,1,Male,1,3,Married,19769,Yes,1,4,33,2,3,11,5,3,3,L6
50,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,4,Married,9525,No,5,2,26,3,3,10,3,1,3,L6
60,Travel_Rarely,Corporate Functions,Masters,1,Female,3,1,Married,19566,No,3,4,33,5,1,11,3,4,4,L6
49,Travel_Rarely,Corporate Functions,Diploma,4,Male,2,1,Divorced,19105,No,3,2,30,2,3,11,3,2,4,L6
49,Travel_Rarely,Corporate Functions,Doctorate,1,Male,3,2,Married,18200,No,3,3,31,2,3,11,2,4,3,L6
48,Travel_Rarely,Corporate Functions,Bachelors,1,Female,3,1,Married,17813,No,3,4,29,3,3,11,3,5,3,L6
48,Travel_Rarely,Corporate Functions,Masters,2,Male,2,3,Married,19845,No,3,1,30,5,3,11,6,3,4,L6
49,Travel_Rarely,Corporate Functions,Diploma,1,Female,3,1,Married,17888,No,3,4,30,3,3,11,3,5,3,L6
49,Travel_Rarely,Corporate Functions,Doctorate,4,Male,2,3,Divorced,19502,Yes,3,3,31,5,3,11,4,1,4,L6
51,Travel_Frequently,Corporate Functions,Bachelors,3,Female,3,2,Married,13967,No,3,1,33,1,3,11,4,1,4,L6
43,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,2,Married,10008,Yes,2,4,24,3,2,9,3,4,3,L6
50,Travel_Rarely,Corporate Functions,Masters,3,Female,2,1,Married,16806,No,3,1,31,2,4,11,3,1,5,L6
50,Non-Travel,Corporate Functions,Bachelors,1,Male,3,1,Divorced,17924,No,3,4,31,3,3,11,3,5,3,L6
49,Travel_Rarely,Corporate Functions,Bachelors,1,Male,3,1,Married,17913,No,3,3,30,3,3,11,2,5,3,L6
52,Travel_Rarely,Corporate Functions,Diploma,4,Male,3,1,Divorced,19601,No,3,1,32,4,2,11,4,3,4,L6
57,Travel_Rarely,Marketing,Bachelors,4,Male,3,1,Married,19443,No,3,4,34,2,3,8,4,4,3,L5
52,Travel_Rarely,Marketing,Diploma,4,Male,3,1,Divorced,19606,No,3,1,32,4,2,11,4,3,4,L5
47,Travel_Rarely,Corporate Functions,Masters,3,Male,3,2,Married,12535,No,5,2,28,2,2,10,4,5,4,L6
50,Travel_Rarely,Corporate Functions,Bachelors,2,Female,2,2,Married,16984,No,3,1,29,2,3,11,3,4,4,L6
49,Travel_Rarely,Corporate Functions,Masters,1,Male,3,1,Married,17895,No,3,4,30,3,3,11,3,5,3,L6
52,Non-Travel,Corporate Functions,Bachelors,1,Male,2,3,Married,18885,No,3,4,31,2,3,11,3,5,4,L6
51,Travel_Rarely,Delivery,Diploma,1,Male,1,4,Married,18383,Yes,4,4,30,2,3,10,5,2,3,L4
49,Travel_Rarely,Corporate Functions,Doctorate,4,Male,2,1,Divorced,19101,No,3,2,31,2,3,11,3,2,4,L6
50,Travel_Rarely,Marketing,Bachelors,2,Female,2,3,Married,19520,No,3,3,30,2,3,11,3,2,5,L5
50,Travel_Frequently,Delivery,Masters,2,Male,3,3,Married,11245,Yes,3,3,32,3,3,11,3,5,5,L4
51,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,3,Married,19522,No,3,3,31,2,3,11,3,2,5,L6
47,Travel_Rarely,Corporate Functions,Bachelors,2,Male,1,3,Married,14312,Yes,3,3,26,3,1,9,3,5,4,L6
52,Travel_Rarely,Corporate Functions,Doctorate,1,Male,1,3,Married,19846,No,2,4,32,2,3,11,5,2,3,L6
39,Travel_Rarely,HR,Diploma,1,Male,2,3,Divorced,15882,Yes,3,3,20,0,2,7,4,5,3,L4
54,Travel_Rarely,Corporate Functions,Masters,2,Male,1,3,Married,19632,No,2,4,35,2,3,11,5,3,3,L6
49,Travel_Rarely,Corporate Functions,Diploma,1,Male,3,2,Married,18201,No,3,3,31,2,3,11,2,4,3,L6
53,Travel_Rarely,HR,Diploma,3,Male,2,1,Divorced,19150,No,3,2,35,2,3,11,4,2,5,L5
49,Travel_Rarely,HR,Bachelors,1,Male,2,2,Married,18200,No,3,3,31,2,3,11,2,4,3,L5
50,Travel_Rarely,Corporate Functions,Doctorate,1,Male,3,2,Married,18146,No,3,3,31,2,3,11,2,4,3,L6
50,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,1,Married,16817,No,3,1,31,3,4,11,2,1,5,L6
50,Travel_Rarely,Corporate Functions,Masters,1,Male,3,1,Married,17895,No,3,4,30,3,2,11,3,5,3,L6
42,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,4,Married,10321,Yes,5,1,22,5,2,8,3,3,3,L3
52,Travel_Rarely,Corporate Functions,Bachelors,4,Male,3,1,Divorced,19633,No,3,1,32,4,2,11,4,4,4,L6
52,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,3,Married,10397,No,4,2,29,3,3,9,2,1,3,L6
49,Travel_Rarely,Corporate Functions,Doctorate,2,Female,2,3,Married,19494,No,3,3,28,2,3,10,3,2,5,L6
53,Travel_Rarely,Marketing,Bachelors,2,Male,2,2,Married,19853,No,4,4,27,2,3,6,3,2,3,L5
59,Travel_Rarely,Corporate Functions,Doctorate,1,Male,3,1,Divorced,19576,No,3,3,33,4,1,10,3,4,4,L6
42,Travel_Rarely,Delivery,Doctorate,2,Male,2,1,Single,15184,Yes,5,1,23,2,2,8,4,4,5,L4
57,Travel_Rarely,Corporate Functions,Diploma,4,Male,3,1,Married,19359,No,1,4,37,2,3,10,5,4,3,L6
37,Travel_Rarely,Sales,Diploma,3,Male,1,3,Married,11365,No,5,3,18,2,1,6,3,4,3,L3
48,Travel_Rarely,Marketing,Diploma,4,Male,2,2,Divorced,19697,Yes,3,1,28,4,2,10,4,3,4,L5
49,Travel_Rarely,Delivery,Diploma,3,Male,1,2,Married,14670,No,5,3,24,2,1,7,2,4,3,L4
46,Travel_Rarely,Product,Diploma,1,Male,1,1,Single,17281,Yes,5,1,23,2,2,7,3,1,4,L4
48,Travel_Rarely,Corporate Functions,Masters,2,Male,2,3,Married,18701,No,3,3,28,2,2,10,2,5,3,L6
56,Travel_Rarely,Corporate Functions,Masters,1,Male,3,1,Single,19464,No,3,4,31,4,1,10,3,4,4,L6
47,Travel_Rarely,Corporate Functions,Diploma,4,Male,2,2,Married,19606,Yes,3,1,27,4,2,10,3,3,4,L6
50,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,3,Married,17046,No,3,2,28,2,3,10,4,6,3,L6
47,Travel_Rarely,Corporate Functions,Masters,3,Male,2,1,Single,13465,No,3,2,27,3,3,10,3,5,2,L6
56,Travel_Rarely,Corporate Functions,Bachelors,4,Male,3,1,Married,19570,No,5,4,31,2,3,6,3,3,2,L5
50,Travel_Rarely,Corporate Functions,Diploma,2,Male,2,3,Married,19508,No,3,3,30,2,3,10,3,2,5,L6
48,Travel_Rarely,Corporate Functions,Masters,3,Male,1,3,Single,14325,No,3,3,29,2,3,10,3,4,3,L6
39,Travel_Rarely,Product,Bachelors,2,Male,2,2,Married,10388,Yes,4,2,19,3,3,6,3,2,3,L3
46,Travel_Rarely,Corporate Functions,Masters,2,Male,2,3,Divorced,19264,No,3,3,26,4,2,10,3,1,4,L6
50,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,1,Single,13503,No,3,3,29,3,3,10,3,5,2,L6
51,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,3,Single,11195,Yes,3,3,30,2,3,10,3,4,4,L6
48,Travel_Rarely,Corporate Functions,Masters,2,Male,2,3,Married,18889,No,3,3,27,2,2,10,1,4,3,L6
48,Travel_Rarely,Corporate Functions,Diploma,4,Male,2,2,Married,19669,No,3,1,28,4,2,10,4,3,4,L6
49,Travel_Rarely,HR,Bachelors,2,Male,2,2,Divorced,11209,No,3,2,31,2,3,10,3,4,5,L3
47,Travel_Rarely,HR,Masters,4,Male,2,2,Married,19639,No,3,1,28,4,2,10,4,3,4,L5
52,Travel_Rarely,Corporate Functions,Doctorate,2,Female,2,1,Married,16851,No,3,1,34,2,3,10,3,1,5,L6
54,Travel_Rarely,Product,Masters,1,Male,3,1,Divorced,19458,No,3,4,29,4,1,10,4,4,4,L5
42,Travel_Rarely,Marketing,Bachelors,3,Male,2,4,Married,10321,Yes,4,1,22,5,2,8,3,3,3,L3
38,Travel_Rarely,HR,Diploma,1,Female,3,3,Married,12112,No,3,3,20,3,3,6,3,4,2,L3
45,Travel_Rarely,Corporate Functions,Bachelors,1,Male,3,2,Married,18565,No,3,3,27,2,3,10,3,3,3,L6
49,Travel_Rarely,Marketing,Diploma,2,Male,2,3,Married,18709,No,3,3,28,2,2,10,2,5,3,L5
50,Travel_Rarely,Corporate Functions,Bachelors,1,Male,3,1,Married,18338,No,3,3,31,2,2,10,2,3,3,L6
47,Travel_Rarely,Corporate Functions,Diploma,1,Male,2,3,Married,19144,No,3,2,28,2,3,10,3,5,3,L6
46,Travel_Rarely,Product,Doctorate,4,Male,4,1,Single,17567,No,3,2,27,5,1,10,1,1,5,L4
50,Travel_Rarely,Marketing,Diploma,2,Female,2,3,Married,19512,No,3,3,30,2,3,10,3,2,5,L5
38,Travel_Rarely,Sales,Bachelors,1,Male,2,3,Married,14228,Yes,4,3,19,1,1,6,3,5,3,L3
53,Travel_Rarely,Corporate Functions,Bachelors,1,Male,2,3,Married,19018,No,3,4,32,2,3,10,2,5,4,L6
38,Travel_Rarely,Corporate Functions,Masters,1,Male,2,3,Divorced,10568,No,5,2,18,2,1,6,1,4,3,L3
46,Travel_Rarely,Corporate Functions,Diploma,3,Male,2,3,Married,19579,No,3,1,28,3,3,10,5,4,4,L6
47,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,3,Married,19805,No,3,2,29,5,3,10,5,3,4,L6
49,Travel_Rarely,Corporate Functions,Bachelors,3,Female,2,1,Married,16764,No,3,2,29,2,4,10,3,1,4,L6
39,Travel_Rarely,HR,Doctorate,1,Male,2,3,Divorced,10531,No,4,2,19,2,1,6,1,4,3,L3
47,Travel_Rarely,Corporate Functions,Masters,3,Male,2,4,Married,10318,Yes,4,2,28,4,2,10,3,4,3,L6
56,Travel_Rarely,Corporate Functions,Doctorate,2,Male,3,2,Married,10364,Yes,4,3,30,2,2,9,3,4,2,L6
56,Travel_Rarely,Corporate Functions,Diploma,3,Female,3,3,Single,13789,No,3,2,32,2,1,10,3,1,3,L6
51,Travel_Rarely,Corporate Functions,Masters,1,Male,1,4,Married,18349,Yes,2,4,30,2,3,10,5,2,3,L6
59,Travel_Rarely,Corporate Functions,Doctorate,1,Male,3,1,Married,19566,No,3,3,33,4,1,10,3,4,4,L6
49,Travel_Rarely,Corporate Functions,Masters,1,Female,3,1,Married,17824,No,3,3,29,3,3,10,2,5,3,L6
51,Travel_Rarely,HR,Bachelors,2,Male,1,4,Single,14843,No,3,3,30,2,3,10,3,4,4,L4
43,Travel_Rarely,Marketing,Diploma,2,Male,2,1,Married,10865,Yes,3,3,23,1,2,8,3,2,3,L3
53,Travel_Rarely,Corporate Functions,Diploma,1,Male,3,2,Divorced,19448,No,3,4,29,4,1,10,4,4,4,L6
54,Travel_Rarely,Corporate Functions,Bachelors,4,Male,3,1,Married,18938,No,3,2,34,2,3,10,4,2,4,L6
41,Travel_Rarely,Delivery,Masters,2,Female,3,3,Married,19545,No,3,4,23,0,3,8,6,6,3,L5
55,Travel_Rarely,Corporate Functions,Doctorate,3,Female,2,3,Married,19616,No,4,3,34,3,3,10,3,1,4,L6
39,Travel_Rarely,Delivery,Masters,2,Male,2,2,Married,9919,No,5,4,20,3,2,8,3,4,3,L2
42,Travel_Frequently,Corporate Functions,Masters,3,Male,3,1,Single,13758,Yes,5,2,22,2,2,8,4,5,5,L4
46,Travel_Rarely,Corporate Functions,Diploma,2,Male,1,3,Single,14057,No,3,3,28,2,3,10,3,5,4,L6
49,Travel_Rarely,Corporate Functions,Doctorate,2,Male,3,2,Divorced,11177,No,3,2,31,3,3,10,3,4,5,L6
51,Travel_Rarely,Corporate Functions,Masters,2,Male,2,4,Married,10157,No,2,1,33,3,3,10,3,1,3,L6
42,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,1,Married,12680,No,3,2,22,1,2,8,3,4,4,L3
46,Travel_Rarely,Corporate Functions,Doctorate,3,Female,3,1,Married,17048,No,4,1,28,2,3,10,6,6,4,L6
44,Travel_Rarely,Product,Bachelors,2,Male,2,1,Married,10482,No,4,4,24,1,3,8,3,2,3,L3
47,Travel_Rarely,Corporate Functions,Masters,3,Female,3,4,Married,16752,Yes,3,3,26,3,2,10,5,2,1,L6
47,Travel_Rarely,Corporate Functions,Masters,2,Male,3,3,Married,11244,No,3,2,29,3,3,10,3,4,4,L6
46,Travel_Rarely,Corporate Functions,Masters,2,Male,2,1,Married,10453,Yes,4,4,26,1,2,9,3,2,3,L6
46,Travel_Rarely,Corporate Functions,Bachelors,1,Male,1,2,Single,17893,Yes,3,1,25,2,2,9,4,1,4,L6
49,Travel_Rarely,Sales,Doctorate,1,Female,3,2,Married,7403,No,3,3,29,3,2,10,4,1,3,L3
50,Travel_Rarely,Corporate Functions,Diploma,2,Female,2,3,Divorced,18740,Yes,3,4,29,2,2,10,2,5,3,L6
52,Travel_Frequently,Sales,Doctorate,1,Male,3,2,Single,13208,Yes,5,3,20,2,2,6,3,2,3,L3
49,Travel_Rarely,Corporate Functions,Bachelors,2,Male,3,2,Divorced,11036,No,3,2,31,3,3,9,3,3,4,L6
51,Travel_Rarely,Corporate Functions,Bachelors,1,Male,3,1,Divorced,19496,No,3,3,27,3,2,9,4,2,4,L6
42,Travel_Rarely,Corporate Functions,Masters,3,Male,3,3,Married,16969,No,3,4,24,2,3,9,4,2,4,L6
41,Travel_Rarely,HR,Diploma,2,Male,2,1,Married,10430,No,4,3,21,2,3,7,3,2,3,L3
49,Travel_Frequently,Marketing,Bachelors,1,Male,3,2,Single,12360,Yes,5,3,13,2,2,5,3,3,3,L3
38,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,2,Married,11652,No,4,1,18,4,2,6,3,3,4,L3
49,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,2,Married,19822,No,3,1,29,4,2,9,4,3,4,L6
57,Travel_Rarely,Corporate Functions,Diploma,4,Male,3,1,Married,19400,No,2,4,35,2,3,9,4,4,3,L6
34,Travel_Frequently,Marketing,Masters,3,Male,2,1,Single,10281,Yes,5,2,14,2,3,5,4,2,1,L3
42,Travel_Rarely,Corporate Functions,Diploma,1,Male,3,3,Divorced,18481,No,3,1,24,3,2,9,3,5,4,L6
49,Travel_Rarely,Corporate Functions,Diploma,2,Female,3,3,Single,13784,No,3,2,28,1,2,9,3,1,2,L6
46,Travel_Frequently,Corporate Functions,Bachelors,2,Male,3,3,Single,16759,No,3,3,25,3,2,9,5,1,1,L6
42,Travel_Rarely,Corporate Functions,Diploma,2,Male,3,4,Married,18663,No,3,2,24,3,2,9,2,4,3,L6
50,Travel_Rarely,Corporate Functions,Doctorate,3,Female,2,4,Married,9982,No,2,2,25,3,3,9,3,1,3,L6
42,Travel_Rarely,HR,Doctorate,2,Male,3,4,Divorced,18585,No,3,2,24,3,2,9,2,4,3,L5
43,Travel_Rarely,Marketing,Masters,3,Male,3,1,Single,19238,No,3,3,25,3,2,9,3,5,5,L5
31,Travel_Frequently,Marketing,Doctorate,3,Female,3,1,Single,2729,Yes,4,2,13,1,2,5,4,4,4,L1
46,Travel_Rarely,Corporate Functions,Diploma,2,Male,2,3,Divorced,18601,No,3,3,26,2,2,9,2,5,3,L6
45,Travel_Frequently,Corporate Functions,Masters,1,Male,3,1,Divorced,5210,No,3,1,24,2,3,9,4,4,4,L6
57,Travel_Rarely,Corporate Functions,Masters,4,Male,3,1,Married,19372,No,2,4,36,2,3,9,5,4,3,L6
46,Travel_Rarely,Marketing,Masters,1,Male,2,1,Married,10474,Yes,5,3,21,1,2,6,2,1,2,L3
46,Travel_Rarely,Corporate Functions,Bachelors,2,Male,2,1,Single,13447,No,3,2,26,3,3,9,3,5,2,L6
46,Travel_Rarely,Corporate Functions,Masters,2,Male,3,1,Married,16953,No,4,1,27,2,3,9,5,5,4,L6
46,Travel_Rarely,Marketing,Bachelors,1,Male,2,4,Married,8685,No,5,3,17,2,3,6,3,1,3,L3
42,Travel_Rarely,Product,Bachelors,3,Male,3,1,Married,13724,Yes,5,2,22,2,2,8,4,5,5,L3
42,Travel_Rarely,Corporate Functions,Diploma,3,Male,2,4,Married,8916,No,3,1,12,4,3,5,3,2,3,L3
43,Travel_Rarely,Corporate Functions,Masters,3,Male,3,3,Married,17020,No,3,4,24,3,3,9,4,2,4,L6
42,Travel_Rarely,Corporate Functions,Doctorate,1,Male,2,2,Married,14335,No,3,3,24,3,3,9,4,1,4,L6
